,titles,neighborhood,links
0,Excelente apartamento na Freguesia /Jacarepaguá,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-apartamento-na-freguesia-jacarepagua-837080205
1,Excelente apt. 03 quartos ( 01 suíte) - Freguesia!,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-apt-03-quartos-01-suite-freguesia-634868811
2,"Apartamento com 3 dormitórios para alugar, 94 m² - Freguesia (Jacarepaguá) - Rio de Janeir","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-para-alugar-94-m-freguesia-jacarepagua-rio-de-janeir-593374927
3,Aluguel -  Apartamento com 3 quartos em Jacarepaguá,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluguel-apartamento-com-3-quartos-em-jacarepagua-892550725
4,Rio2 | Vista Lagoa e Lazer | 3Qtos | Armários Planejados | Andar Alto,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio2-vista-lagoa-e-lazer-3qtos-armarios-planejados-andar-alto-892163418
5,Apartamento 3 quartos em condomínio com infraestrutura completa,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-3-quartos-em-condominio-com-infraestrutura-completa-887185040
6,"Barra da Tijuca: R$ 2.300,00","Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/barra-da-tijuca-r-2-300-00-885715690
7,"Apartamento para aluguel e venda na Rua Potiguara, Freguesia","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-aluguel-e-venda-na-rua-potiguara-freguesia-883314464
8,"Apartamento - BARRA DA TIJUCA - R$ 2.500,00","Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-barra-da-tijuca-r-2-500-00-898353409
9,Rio 2 - Gênova,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-2-genova-800773986
10,Apartamento 3 suítes - Freguesia,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-3-suites-freguesia-894885507
11,"Apartamento para Locação em Rio de Janeiro, Barra da Tijuca, 3 dormitórios, 1 suíte, 2 ban","Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-locacao-em-rio-de-janeiro-barra-da-tijuca-3-dormitorios-1-suite-2-ban-788825439
12,Apartamento para alugar com 4 dormitórios cod:33283,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-alugar-com-4-dormitorios-cod-33283-872015454
13,"Apartamento para alugar, 105 m² por R$ 2.800,00 - Freguesia (Jacarepaguá) - Rio de Janeiro","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-alugar-105-m-por-r-2-800-00-freguesia-jacarepagua-rio-de-janeiro-812167145
14,cobertura duplex para locação via flamboyant,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-duplex-para-locacao-via-flamboyant-887725482
15,Freguesia lindo apartamento 4 quartos oportunidade única,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/freguesia-lindo-apartamento-4-quartos-oportunidade-unica-881306477
16,RG alugo ou vendo linda cobertura com 3 quartos,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rg-alugo-ou-vendo-linda-cobertura-com-3-quartos-771069465
17,Cobertura,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-872032752
18,RG alugo ou vendo lindo cobertura com 4 quartos,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rg-alugo-ou-vendo-lindo-cobertura-com-4-quartos-771072160
19,"Apartamento com 4 dormitórios para alugar, 187 m² por R$ 3.200/mês - Freguesia (Jacarepagu","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-4-dormitorios-para-alugar-187-m-por-r-3-200-mes-freguesia-jacarepagu-558973358
20,"Apartamento 4 quartos, 130 m² , 2 vagas na garagem - Rua Araguaia, Freguesia","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-4-quartos-130-m-2-vagas-na-garagem-rua-araguaia-freguesia-896322909
21,Apartamento,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-780770954
22,RG(Grand village) cobertura com 3 quartos,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rg-grand-village-cobertura-com-3-quartos-856415396
23,"Rua Germiniano de Goies /Apartamento com 3 dormitórios para alugar, 143 m² por R$ 3.500/mê","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rua-germiniano-de-goies-apartamento-com-3-dormitorios-para-alugar-143-m-por-r-3-500-me-887520408
24,Aluguel -Rio 2,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluguel-rio-2-892379958
25,Apartamento Freguesia cobertura 2/3 quartos,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-freguesia-cobertura-2-3-quartos-815380931
26,"Freguesia, Estr do Bananal, Cond Village Florença, cobertura duplex 3 quartos com total la","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/freguesia-estr-do-bananal-cond-village-florenca-cobertura-duplex-3-quartos-com-total-la-780770871
27,RG( Village Florença) Alugo ou vendo cobertura na Freguesia,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rg-village-florenca-alugo-ou-vendo-cobertura-na-freguesia-771188528
28,"Apartamento com 3 dormitórios para alugar, 190 m² por R$ 3.500,00/mês - Freguesia (Jacarep","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-para-alugar-190-m-por-r-3-500-00-mes-freguesia-jacarep-558973348
29,"LOCAÇÃO - Cidade Jardim - Reserva Jardim - varandão, 3qtos,","Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/locacao-cidade-jardim-reserva-jardim-varandao-3qtos-881245039
30,Excelente Cobertura 4 qts na Freguesia! DOIS MESES DE DEPÓSITO!!,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-cobertura-4-qts-na-freguesia-dois-meses-de-deposito-878196023
31,ME. Alugo Cobertura de Duplex de 3 qts c/ 2 Vgas na Barra!!!,"Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/me-alugo-cobertura-de-duplex-de-3-qts-c-2-vgas-na-barra-761530022
32,"ME. Alugo Cobertura 4 qts, 3 Suítes c/ 187m² na Freguesia!!!!","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/me-alugo-cobertura-4-qts-3-suites-c-187m-na-freguesia-714368468
33,"Apartamento com 4 dormitórios para alugar, 187 m² por R$ 4.000,00/mês - Freguesia (Jacarep","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-4-dormitorios-para-alugar-187-m-por-r-4-000-00-mes-freguesia-jacarep-558973372
34,"Apartamento com 4 dormitórios para alugar, 150 m² por r$ 4.100,00/mês - barra da tijuca - ","Rio de Janeiro, Jacarepaguá",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-4-dormitorios-para-alugar-150-m-por-r-4-100-00-mes-barra-da-tijuca-678716268
35,"Cobertura com 4 dormitórios para alugar, 211 m² por R$ 4.500/mês - Freguesia (Jacarepaguá)","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-com-4-dormitorios-para-alugar-211-m-por-r-4-500-mes-freguesia-jacarepagua-892378865
36,"Cobertura com 4 dormitórios para alugar, 211 m² por R$ 4.500,00/mês - Freguesia (Jacarepag","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-com-4-dormitorios-para-alugar-211-m-por-r-4-500-00-mes-freguesia-jacarepag-884381234
37,"Cobertura com 4 dormitórios, 211 m² - Freguesia (Jacarepaguá) - Rio de Janeiro/RJ","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-com-4-dormitorios-211-m-freguesia-jacarepagua-rio-de-janeiro-rj-865616471
38,"ALUGA COBERTURAS DUPLEX DE 4 QUARTOS COM ATÉ 3 SUÍTES NA ESTRADA DO BANANAL, FREGUESIA.","Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/aluga-coberturas-duplex-de-4-quartos-com-ate-3-suites-na-estrada-do-bananal-freguesia-864698829
39,RG(Village vert) Cobertura com 4 suítes,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rg-village-vert-cobertura-com-4-suites-856462877
40,Apartamento para alugar com 4 dormitórios cod:87-ra loc ve_2-1031928,"Rio de Janeiro, Freguesia (Jacarepaguá)",https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-alugar-com-4-dormitorios-cod-87-ra-loc-ve-2-1031928-822478177
